,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
10,21.032220673561095,5.990070617038026,2.2360209941864015,0.9332427705678552,0.0001,1000,"{'C': 0.0001, 'gamma': 1000}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
11,32.99606881141663,5.932809085091009,3.182558274269104,1.0131596901828932,0.001,0.0001,"{'C': 0.001, 'gamma': 0.0001}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
12,27.84249954223633,6.480511913110838,3.395844554901123,1.24577568669519,0.001,0.001,"{'C': 0.001, 'gamma': 0.001}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
13,18.2317182302475,6.486623912389918,2.9741617918014525,1.293701668511192,0.001,0.01,"{'C': 0.001, 'gamma': 0.01}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
14,24.67479064464569,6.719449859633836,3.4097952365875246,1.401942515428173,0.001,0.03,"{'C': 0.001, 'gamma': 0.03}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
15,28.23212866783142,4.882223845710811,3.5192825317382814,0.7529956532948462,0.001,0.1,"{'C': 0.001, 'gamma': 0.1}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
5,20.717574024200438,6.058632437532255,2.1490448474884034,1.0050294537403122,0.0001,0.3,"{'C': 0.0001, 'gamma': 0.3}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
17,28.16485035419464,4.400388000442,3.588633966445923,0.9634931345510689,0.001,1,"{'C': 0.001, 'gamma': 1}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
25,26.040962910652162,9.723525338597863,2.889421534538269,1.2859818361301347,0.01,0.03,"{'C': 0.01, 'gamma': 0.03}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
18,26.717811226844788,5.70968924450536,3.1561065912246704,1.1234877911120882,0.001,3,"{'C': 0.001, 'gamma': 3}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
30,26.439761114120483,5.48861446155552,3.1572739839553834,1.022054030954974,0.01,10,"{'C': 0.01, 'gamma': 10}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
28,25.899725103378294,6.569698523560835,3.654700207710266,1.0497713004530345,0.01,1,"{'C': 0.01, 'gamma': 1}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
27,27.907741951942445,7.335658786279816,3.5715287923812866,1.0492750107300872,0.01,0.3,"{'C': 0.01, 'gamma': 0.3}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
26,22.812051033973695,8.3887183262687,3.2051787853240965,1.6032114442778185,0.01,0.1,"{'C': 0.01, 'gamma': 0.1}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
29,24.92362861633301,5.298038588110081,2.670871210098267,0.9185918919607075,0.01,3,"{'C': 0.01, 'gamma': 3}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
24,28.896212339401245,6.413483098537534,2.717971396446228,0.8934999642436166,0.01,0.01,"{'C': 0.01, 'gamma': 0.01}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
