,CVE,flag_CR
918,CVE-2023-1486,0
919,CVE-2022-38731,0
920,CVE-2023-22681,0
921,CVE-2023-1464,1
922,CVE-2022-38734,0
923,CVE-2022-45544,0
924,CVE-2023-1484,1
925,CVE-2022-34910,0
926,CVE-2022-45608,0
927,CVE-2023-1485,0
928,CVE-2023-1466,1
929,CVE-2023-1488,0
930,CVE-2023-27103,0
931,CVE-2023-1493,0
932,CVE-2023-27224,1
933,CVE-2023-1482,0
934,CVE-2023-1507,0
935,CVE-2023-1487,0
936,CVE-2022-45003,0
937,CVE-2023-22748,1
938,CVE-2022-38456,0
939,CVE-2021-40438,1
940,CVE-2022-44875,0
941,CVE-2023-23109,0
942,CVE-2023-28617,0
943,CVE-2022-38971,0
944,CVE-2022-45137,0
945,CVE-2023-24728,0
946,CVE-2021-4329,1
947,CVE-2022-34908,0
948,CVE-2022-45155,0
949,CVE-2023-27372,1
950,CVE-2022-45454,0
951,CVE-2023-28611,1
952,CVE-2023-24808,0
953,CVE-2022-38458,0
954,CVE-2023-1378,1
955,CVE-2023-23586,0
956,CVE-2023-23926,0
957,CVE-2023-23718,0
958,CVE-2023-1368,1
959,CVE-2023-1367,0
960,CVE-2023-23721,0
961,CVE-2023-1363,0
962,CVE-2023-28725,1
963,CVE-2023-23857,0
964,CVE-2023-1453,0
965,CVE-2023-23920,0
966,CVE-2021-27788,0
967,CVE-2022-46892,1
968,CVE-2023-1337,0
969,CVE-2023-26922,1
970,CVE-2023-27060,1
971,CVE-2023-1448,0
972,CVE-2023-23781,0
973,CVE-2017-8291,0
974,CVE-2023-1322,1
975,CVE-2023-24377,0
976,CVE-2022-45697,0
977,CVE-2023-25762,0
978,CVE-2022-4450,0
979,CVE-2021-3854,1
980,CVE-2022-45725,0
981,CVE-2023-1321,1
982,CVE-2023-23944,0
983,CVE-2023-27117,0
984,CVE-2022-45843,0
985,CVE-2023-1450,0
986,CVE-2023-1415,0
987,CVE-2023-1449,0
988,CVE-2023-23696,0
989,CVE-2023-1398,0
990,CVE-2023-27164,0
991,CVE-2023-23108,0
992,CVE-2023-1429,0
993,CVE-2022-44742,0
994,CVE-2023-24323,0
995,CVE-2023-24388,0
