,CVE,num_of_author,baseSeverity,baseScore
469,CVE-2023-27635,14,HIGH,7.8
470,CVE-2022-45553,14,CRITICAL,9.8
471,CVE-2023-0939,14,CRITICAL,9.8
472,CVE-2015-10073,14,CRITICAL,9.6
473,CVE-2022-45636,14,HIGH,8.1
474,CVE-2022-25733,14,HIGH,7.5
475,CVE-2023-1235,14,MEDIUM,6.3
476,CVE-2022-21953,14,HIGH,8.8
477,CVE-2015-10094,14,MEDIUM,6.1
478,CVE-2021-46023,14,HIGH,7.5
479,CVE-2023-0988,14,HIGH,8.8
480,CVE-2023-0877,14,HIGH,8.8
481,CVE-2023-0932,14,HIGH,8.8
482,CVE-2023-0986,14,CRITICAL,9.8
483,CVE-2023-1495,14,HIGH,8.8
484,CVE-2023-1501,14,HIGH,8.8
485,CVE-2023-1498,14,CRITICAL,9.8
486,CVE-2022-22512,14,CRITICAL,9.8
487,CVE-2023-0879,14,MEDIUM,5.4
488,CVE-2021-4333,14,MEDIUM,6.5
489,CVE-2022-45153,14,HIGH,7.8
490,CVE-2022-25735,14,HIGH,7.5
491,CVE-2023-24726,14,CRITICAL,9.8
492,CVE-2023-24329,14,HIGH,7.5
493,CVE-2023-1499,14,CRITICAL,9.8
494,CVE-2021-4330,14,HIGH,8.8
495,CVE-2023-24815,14,MEDIUM,5.3
496,CVE-2023-1560,14,MEDIUM,5.5
497,CVE-2022-31808,14,HIGH,7.8
498,CVE-2023-1291,14,CRITICAL,9.8
499,CVE-2023-1592,14,CRITICAL,9.8
500,CVE-2023-0743,14,CRITICAL,9.0
501,CVE-2022-25729,14,CRITICAL,9.8
502,CVE-2015-10095,14,MEDIUM,6.1
503,CVE-2023-20859,14,MEDIUM,5.5
504,CVE-2023-1029,14,MEDIUM,4.3
505,CVE-2021-38239,14,HIGH,7.5
506,CVE-2015-10074,14,MEDIUM,6.1
507,CVE-2023-0734,14,MEDIUM,5.3
508,CVE-2021-37492,14,HIGH,7.5
509,CVE-2023-25363,13,CRITICAL,9.8
510,CVE-2023-1039,13,HIGH,8.8
511,CVE-2023-1564,13,CRITICAL,9.8
512,CVE-2023-0927,13,HIGH,8.8
513,CVE-2022-34909,13,CRITICAL,9.1
514,CVE-2023-0050,13,MEDIUM,5.4
515,CVE-2023-22855,13,CRITICAL,9.8
516,CVE-2022-21163,13,HIGH,7.8
517,CVE-2023-1149,13,MEDIUM,5.4
518,CVE-2023-1040,13,CRITICAL,9.8
519,CVE-2022-34415,13,MEDIUM,6.7
520,CVE-2023-0931,13,HIGH,8.8
521,CVE-2023-25358,13,CRITICAL,9.8
522,CVE-2023-23836,13,HIGH,7.2
523,CVE-2022-37969,13,HIGH,7.8
524,CVE-2023-1116,13,MEDIUM,5.4
525,CVE-2020-0796,13,CRITICAL,10.0
526,CVE-2023-0903,13,HIGH,8.8
527,CVE-2022-36804,13,HIGH,8.8
528,CVE-2023-26088,13,HIGH,7.8
529,CVE-2023-0904,13,HIGH,8.8
530,CVE-2023-26074,13,CRITICAL,9.8
531,CVE-2023-25621,13,MEDIUM,6.5
532,CVE-2023-0003,13,MEDIUM,6.5
533,CVE-2023-0845,13,MEDIUM,6.5
534,CVE-2023-25805,13,CRITICAL,9.8
535,CVE-2022-48342,13,CRITICAL,9.8
536,CVE-2023-1051,13,MEDIUM,6.1
537,CVE-2023-27781,13,HIGH,7.8
538,CVE-2023-26544,13,HIGH,7.8
539,CVE-2023-0905,13,HIGH,7.5
540,CVE-2023-1034,13,HIGH,8.8
541,CVE-2023-0882,13,HIGH,8.8
542,CVE-2023-1028,13,MEDIUM,4.3
543,CVE-2022-48363,13,HIGH,7.5
544,CVE-2023-1578,13,HIGH,8.8
545,CVE-2022-43761,13,HIGH,7.5
546,CVE-2022-48423,13,HIGH,7.8
547,CVE-2023-0878,13,MEDIUM,6.1
548,CVE-2023-1024,13,MEDIUM,4.3
549,CVE-2023-1046,13,HIGH,8.8
550,CVE-2023-23524,13,HIGH,7.5
551,CVE-2023-0916,13,HIGH,8.8
552,CVE-2023-26314,13,HIGH,8.8
553,CVE-2023-1063,13,HIGH,8.8
554,CVE-2023-0746,13,MEDIUM,6.1
555,CVE-2023-0980,13,CRITICAL,9.8
556,CVE-2023-0982,13,CRITICAL,9.8
557,CVE-2023-26209,13,MEDIUM,5.3
558,CVE-2023-28685,13,HIGH,7.1
559,CVE-2023-0771,13,HIGH,8.8
560,CVE-2021-45478,13,MEDIUM,6.5
561,CVE-2023-24343,13,HIGH,8.8
562,CVE-2022-34406,13,MEDIUM,6.7
563,CVE-2022-34407,13,MEDIUM,6.7
564,CVE-2022-33254,13,HIGH,7.5
565,CVE-2023-0322,13,MEDIUM,6.1
566,CVE-2022-34411,13,MEDIUM,6.7
567,CVE-2023-26261,13,CRITICAL,9.8
568,CVE-2022-34408,13,MEDIUM,6.7
569,CVE-2023-26110,13,CRITICAL,9.8
570,CVE-2019-25104,13,HIGH,7.5
571,CVE-2023-0981,13,CRITICAL,9.8
572,CVE-2022-34412,13,MEDIUM,6.7
573,CVE-2022-34410,13,MEDIUM,6.7
574,CVE-2022-34409,13,MEDIUM,6.7
575,CVE-2022-21216,13,MEDIUM,6.8
