CVE,num_of_author,baseSeverity,baseScore
CVE-2022-46169,15,CRITICAL,9.8
CVE-2022-45552,15,HIGH,7.5
CVE-2015-10085,15,HIGH,7.5
CVE-2023-24816,15,HIGH,7.0
CVE-2015-10096,15,CRITICAL,9.8
CVE-2015-10089,15,MEDIUM,6.1
CVE-2023-24295,15,HIGH,7.8
CVE-2015-10093,15,MEDIUM,5.4
CVE-2021-36821,15,MEDIUM,6.1
CVE-2020-3992,15,CRITICAL,9.8
CVE-2020-5002,15,HIGH,8.8
CVE-2020-36665,15,MEDIUM,6.1
CVE-2023-0215,15,HIGH,7.5
CVE-2013-10020,15,MEDIUM,6.1
CVE-2023-26281,15,HIGH,7.5
CVE-2023-0483,15,LOW,3.8
CVE-2023-23400,15,HIGH,7.2
CVE-2023-26039,15,HIGH,8.8
CVE-2011-10003,15,CRITICAL,9.8
CVE-2011-10002,15,CRITICAL,9.8
CVE-2023-0747,15,MEDIUM,5.4
CVE-2022-38074,15,HIGH,8.8
CVE-2006-10001,15,MEDIUM,5.4
CVE-2023-0938,15,CRITICAL,9.8
CVE-2023-0860,15,HIGH,7.5
CVE-2023-0861,15,HIGH,8.8
CVE-2023-0915,15,HIGH,8.8
CVE-2023-0901,15,MEDIUM,5.3
CVE-2023-0883,15,CRITICAL,9.8
CVE-2023-26464,15,HIGH,7.5
CVE-2023-1084,15,LOW,2.7
CVE-2019-8720,15,HIGH,8.8
CVE-2023-1240,15,MEDIUM,5.4
CVE-2020-36664,15,MEDIUM,6.1
CVE-2020-36663,15,MEDIUM,6.1
CVE-2020-36656,15,MEDIUM,5.4
CVE-2023-1286,15,MEDIUM,4.8
CVE-2022-32469,15,HIGH,7.0
CVE-2020-19786,15,HIGH,8.8
CVE-2022-32471,15,HIGH,7.0
CVE-2023-1211,15,HIGH,7.2
CVE-2023-1151,15,CRITICAL,9.8
CVE-2022-32476,15,HIGH,7.0
CVE-2023-26605,15,HIGH,7.8
CVE-2023-22578,15,CRITICAL,9.8
CVE-2023-1176,15,LOW,3.3
CVE-2023-1165,15,HIGH,7.2
CVE-2017-20182,15,MEDIUM,6.1
CVE-2017-20180,15,HIGH,7.5
CVE-2021-43529,15,CRITICAL,9.8
CVE-2022-22963,15,CRITICAL,9.8
CVE-2016-15026,15,HIGH,7.8
CVE-2023-1527,15,MEDIUM,5.4
CVE-2022-25734,15,HIGH,7.5
CVE-2023-1556,15,CRITICAL,9.8
CVE-2016-15027,15,MEDIUM,6.1
CVE-2023-1561,15,CRITICAL,9.8
CVE-2023-1535,15,MEDIUM,5.4
CVE-2016-15030,15,MEDIUM,6.1
CVE-2016-15025,15,MEDIUM,6.1
CVE-2021-46875,15,MEDIUM,6.1
CVE-2023-24573,15,HIGH,7.1
CVE-2023-1534,14,HIGH,8.8
CVE-2023-0461,14,HIGH,7.8
CVE-2023-1557,14,CRITICAL,9.8
CVE-2021-31573,14,CRITICAL,9.8
CVE-2023-0361,14,HIGH,7.5
CVE-2021-32845,14,HIGH,7.8
CVE-2022-33250,14,HIGH,7.5
CVE-2022-43461,14,MEDIUM,5.4
CVE-2023-27483,14,HIGH,7.5
CVE-2023-26213,14,HIGH,7.2
CVE-2023-23039,14,MEDIUM,5.7
CVE-2023-1312,14,MEDIUM,4.8
CVE-2022-40676,14,MEDIUM,5.4
CVE-2022-33245,14,HIGH,7.8
CVE-2023-27871,14,HIGH,7.5
CVE-2022-44574,14,HIGH,7.5
CVE-2023-24367,14,MEDIUM,6.1
CVE-2022-34416,14,MEDIUM,6.7
CVE-2022-38745,14,HIGH,7.8
CVE-2023-1035,14,HIGH,8.8
CVE-2023-1558,14,CRITICAL,9.8
CVE-2022-34419,14,MEDIUM,6.7
CVE-2022-34418,14,MEDIUM,6.7
CVE-2022-34417,14,MEDIUM,6.7
CVE-2021-33396,14,MEDIUM,6.5
CVE-2023-1370,14,HIGH,7.5
CVE-2019-17003,14,MEDIUM,6.1
CVE-2021-33104,14,MEDIUM,5.5
CVE-2021-32844,14,MEDIUM,5.5
CVE-2023-1050,14,CRITICAL,9.8
CVE-2021-32843,14,MEDIUM,5.5
CVE-2021-32419,14,MEDIUM,5.3
CVE-2021-0187,14,MEDIUM,6.7
CVE-2021-32163,14,CRITICAL,9.8
CVE-2023-1081,14,MEDIUM,4.8
CVE-2018-25081,14,HIGH,7.5
CVE-2023-1304,14,HIGH,8.8
CVE-2023-25613,14,CRITICAL,9.8
CVE-2023-28486,14,MEDIUM,5.3
CVE-2023-1595,14,HIGH,7.2
CVE-2020-22647,14,CRITICAL,9.1
CVE-2023-22704,14,MEDIUM,6.1
CVE-2022-43634,14,,
CVE-2023-1170,14,MEDIUM,6.6
CVE-2022-42485,14,MEDIUM,5.4
CVE-2023-26545,14,HIGH,7.8
CVE-2023-1616,14,MEDIUM,5.4
CVE-2023-1244,14,MEDIUM,5.4
CVE-2023-26780,14,CRITICAL,9.8
CVE-2023-1177,14,CRITICAL,9.8
CVE-2023-26600,14,MEDIUM,6.5
CVE-2022-32954,14,HIGH,7.0
CVE-2017-11882,14,HIGH,7.8
CVE-2022-32473,14,HIGH,7.0
CVE-2023-1241,14,MEDIUM,5.4
CVE-2022-32478,14,HIGH,7.0
CVE-2023-1543,14,HIGH,8.8
CVE-2017-20178,14,HIGH,7.5
CVE-2017-20177,14,MEDIUM,6.1
CVE-2023-1155,14,MEDIUM,5.4
CVE-2023-1563,14,CRITICAL,9.8
CVE-2023-1294,14,CRITICAL,9.8
CVE-2023-1293,14,CRITICAL,9.8
CVE-2023-1292,14,CRITICAL,9.8
CVE-2023-1291,14,CRITICAL,9.8
CVE-2023-1290,14,CRITICAL,9.8
CVE-2020-4927,14,HIGH,8.2
CVE-2020-4556,14,LOW,3.3
CVE-2023-28607,14,MEDIUM,6.1
CVE-2020-36670,14,MEDIUM,6.3
CVE-2022-47949,14,CRITICAL,9.8
CVE-2020-36669,14,HIGH,8.8
CVE-2020-36668,14,MEDIUM,4.3
CVE-2020-36667,14,MEDIUM,5.4
CVE-2022-33244,14,HIGH,7.5
CVE-2023-0056,14,MEDIUM,6.5
CVE-2023-23007,14,HIGH,7.2
CVE-2023-24080,14,CRITICAL,9.8
CVE-2022-31808,14,HIGH,7.8
CVE-2023-1033,14,HIGH,8.8
CVE-2023-1235,14,MEDIUM,6.3
CVE-2023-1559,14,HIGH,7.2
CVE-2008-10003,14,CRITICAL,9.8
CVE-2022-45551,14,CRITICAL,9.8
CVE-2021-46023,14,HIGH,7.5
CVE-2023-0935,14,CRITICAL,9.8
CVE-2022-45553,14,CRITICAL,9.8
CVE-2023-27587,14,MEDIUM,6.5
CVE-2023-0939,14,CRITICAL,9.8
CVE-2015-10073,14,CRITICAL,9.6
CVE-2023-27635,14,HIGH,7.8
CVE-2022-45636,14,HIGH,8.1
CVE-2015-10094,14,MEDIUM,6.1
CVE-2022-25733,14,HIGH,7.5
CVE-2023-1462,14,HIGH,8.8
CVE-2023-0760,14,HIGH,7.8
CVE-2023-0759,14,HIGH,8.8
CVE-2023-0932,14,HIGH,8.8
CVE-2023-24329,14,HIGH,7.5
CVE-2023-1589,14,CRITICAL,9.8
CVE-2022-21953,14,HIGH,8.8
CVE-2023-1495,14,HIGH,8.8
CVE-2023-27326,14,,
CVE-2023-1501,14,HIGH,8.8
